id   | kingdom     | moon name
1001 | Wooded      | I Met an Uproot!
1002 | Snow        | Caught Hopping in the Snow!
1003 | Snow        | Snow Kingdom Timer Challenge 3
1004 | Cascade     | Rolling Rock by the Falls
1005 | Luncheon    | Diving from the Big Pot!
1008 | Lake        | Unzip the Chasm
1009 | Lake        | Super-Secret Zipper
1010 | Wooded      | Wooded Kingdom Timer Challenge 3
1011 | Wooded      | Swing Around Secret Flower Field
1014 | Bowser's    | Small Bird in Bowser's Castle
1015 | Lake        | Rooftop of the Water Plaza
1016 | Bowser's    | Caught on the Giant Horn
1017 | Lake        | Love by the Lake
1018 | Cap         | Taking Notes: In the Fog
1019 | Cap         | Frog-Jumping Above the Fog
1020 | Snow        | The Bound Bowl Grand Prix
1021 | Metro       | Hat-and-Seek: In the Crowd
1022 | Metro       | Pushing Through the Crowd
1023 | Metro       | High Over the Crowd
1024 | Seaside     | Wriggling on the Sandy Bottom
1025 | Cap         | Spin the Hat, Get a Prize
1026 | Wooded      | Inside a Rock in the Forest
1027 | Mushroom    | Pops Out of the Tail
1028 | Seaside     | Seaside Kingdom Regular Cup
1029 | Seaside     | Seaside Kingdom Master Cup
1030 | Snow        | Moon Shards in the Cold Room
1031 | Snow        | Slip Behind the Ice
1032 | Bowser's    | From Crates in the Moat
1033 | Cap         | Cap Kingdom Regular Cup
1034 | Cap         | Cap Kingdom Master Cup
1037 | Metro       | Sphynx in the City
1038 | Cap         | Bonneter Blockade
1039 | Bowser's    | Sphynx Over Bowser's Castle
1040 | Metro       | Metro Kingdom Slots
1041 | Cascade     | Sphynx Traveling to the Waterfall
1042 | Luncheon    | Luncheon Kingdom Slots
1043 | Seaside     | Rapid Ascent on Hot Spring Island
1045 | Sand        | Sand Kingdom Regular Cup
1046 | Sand        | Sand Kingdom Master Cup
1047 | Sand        | Sand Kingdom Slots
1049 | Moon        | Mysterious Flying Object
1050 | Mushroom    | Secret 2D Treasure
1051 | Mushroom    | 2D Boost from Bullet Bill
1054 | Metro       | Metro Kingdom Timer Challenge 1
1055 | Dark Side   | Arrival at Rabbit Ridge!
1057 | Seaside     | Glass Palace Treasure Chest
1059 | Sand        | Jaxi Reunion!
1061 | Darker Side | Long Journey's End
1062 | Dark Side   | Breakdown Road: Hurry!
1063 | Dark Side   | Breakdown Road: Final Challenge!
1064 | Dark Side   | Vanishing Road Challenge
1065 | Dark Side   | Vanishing Road Rush
1066 | Dark Side   | Yoshi Under Siege
1067 | Dark Side   | Fruit Feast Under Siege
1068 | Dark Side   | Invisible Road: Secret!
1069 | Dark Side   | Invisible Road: Rush!
1070 | Dark Side   | Yoshi on the Sinking Island
1071 | Dark Side   | Fruit Feast on the Sinking Island
1073 | Cap         | Taxi Flying Through Bonneton
1075 | Lost        | Twist 'n' Turn-Up Treasure
1077 | Lost        | Taxi Flying Through Forgotten Isle
1078 | Lake        | Taxi Flying Through Lake Lamode
1080 | Snow        | Shining in the Snow in Town
1081 | Snow        | Entrance to Shiveria
1082 | Dark Side   | Yoshi's Magma Swamp
1083 | Dark Side   | Fruit Feast in the Magma Swamp!
1086 | Cap         | Found with Cap Kingdom Art
1087 | Snow        | Found with Snow Kingdom Art
1088 | Metro       | Found with Metro Kingdom Art
1089 | Wooded      | Found with Wooded Kingdom Art
1090 | Luncheon    | Found with Luncheon Kingdom Art
1091 | Bowser's    | Found with Bowser's Kingdom Art
1092 | Bowser's    | Hidden Corridor Under the Floor
1094 | Lake        | Found with Lake Kingdom Art
1095 | Seaside     | Found with Seaside Kingdom Art
1096 | Sand        | Found with Sand Kingdom Art
1100 | Metro       | Sewer Treasure
1101 | Luncheon    | Treasure of the Lava Islands
1102 | Bowser's    | Taking Notes with a Spinning Throw
1103 | Seaside     | Sea Gardening: Inlet Seed
1104 | Seaside     | Sea Gardening: Canyon Seed
1105 | Seaside     | Sea Gardening: Ocean Trench Seed
1106 | Seaside     | Sea Gardening: Hot-Spring Seed
1107 | Seaside     | Looking Back in the Dark Waterway
1108 | Mushroom    | Gardening for Toad: Garden Seed
1109 | Mushroom    | Gardening for Toad: Field Seed
1110 | Mushroom    | Gardening for Toad: Lake Seed
1111 | Mushroom    | Gardening for Toad: Pasture Seed
1112 | Sand        | Desert Gardening: Plaza Seed
1113 | Sand        | Desert Gardening: Ruins Seed
1114 | Sand        | Desert Gardening: Seed on the Cliff
1115 | Cascade     | Dinosaur Nest: Running Wild!
1116 | Cascade     | Dinosaur Nest: Big Cleanup!
1117 | Ruined      | Peach in the Ruined Kingdom
1118 | Cloud       | Peach in the Cloud Kingdom
1119 | Mushroom    | Princess Peach, Home Again!
1120 | Seaside     | Bird Traveling Over the Ocean
1121 | Mushroom    | Taking Notes: Around the Well
1122 | Dark Side   | Captain Toad on the Dark Side!
1123 | Dark Side   | Found with Dark Side Art 8
1124 | Dark Side   | Found with Dark Side Art 4
1125 | Dark Side   | Found with Dark Side Art 10
1126 | Dark Side   | Found with Dark Side Art 7
1127 | Dark Side   | Found with Dark Side Art 6
1128 | Dark Side   | Found with Dark Side Art 9
1129 | Dark Side   | Found with Dark Side Art 5
1130 | Dark Side   | Found with Dark Side Art 2
1131 | Dark Side   | Found with Dark Side Art 3
1132 | Dark Side   | Found with Dark Side Art 1
1133 | Bowser's    | Knocking Down the Nice Frame
1134 | Mushroom    | Perched on the Castle Roof
1135 | Seaside     | A Rumble on the Seaside Floor
1136 | Sand        | A Rumble from the Sandy Floor
1137 | Wooded      | Glowing in the Deep Woods
1139 | Metro       | Motor Scooter: Escape!
1140 | Metro       | Big Jump: Escape!
1141 | Mushroom    | Dust-Up in New Donk City: Rematch
1142 | Mushroom    | Blowup at Mount Volbono: Rematch
1143 | Bowser's    | Stone Wall Circuit
1144 | Mushroom    | Courtyard Chest Trap
1145 | Cascade     | On Top of the Rubble
1146 | Mushroom    | Rumble in Crumbleden: Rematch
1147 | Mushroom    | Battle in Bubblaine: Rematch
